날짜,포트폴리오 이름,캠페인 유형,캠페인 이름,리테일러,국가,상태,통화,예산,타겟팅 유형,입찰 전략,광고 노출 수,작년 광고 노출 수,클릭수,작년 클릭 수,CTR(클릭률),지출,작년 지출,클릭당 비용(CPC),작년 클릭당 비용(CPC),7일 총 주문(건수),"총 판매 광고 비용(ACOS) ",총 광고 수익률(ROAS),"7일 총 판매 "
"Aug 22, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_General_260713,Amazon,미국,ENABLED,USD,$57.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,4717,,45,,0.954%,$48.14,,$1.0697778,$0.0,11,49.223%,2.03,$97.8
"Aug 22, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_Branded_260713,Amazon,미국,ENABLED,USD,$38.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,5800,,148,,2.552%,$28.21,,$0.1906081,$0.0,7,36.556%,2.74,$77.17
"Aug 22, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_CARROT_260713,Amazon,미국,ENABLED,USD,$75.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,25110,,90,,0.358%,$40.56,,$0.45066670000000003,$0.0,21,12.354999999999999%,8.09,$328.3
"Aug 22, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_RICE_260713,Amazon,미국,ENABLED,USD,$105.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,25067,,173,,0.69%,$74.82,,$0.4324855,$0.0,26,23.299%,4.29,$321.13
"Aug 23, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_RICE_260713,Amazon,미국,ENABLED,USD,$105.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,19848,,157,,0.791%,$70.23,,$0.4473248,$0.0,23,23.893%,4.19,$293.93
"Aug 23, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_CARROT_260713,Amazon,미국,ENABLED,USD,$75.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,24956,,105,,0.42100000000000004%,$47.06,,$0.4481905,$0.0,31,8.715%,11.47,$540.0
"Aug 23, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_Branded_260713,Amazon,미국,ENABLED,USD,$38.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,6028,,143,,2.3720000000000003%,$32.26,,$0.22559439999999997,$0.0,14,18.917%,5.29,$170.53
"Aug 23, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_General_260713,Amazon,미국,ENABLED,USD,$57.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,5683,,54,,0.95%,$48.47,,$0.8975926,$0.0,14,31.696%,3.15,$152.92
"Aug 24, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_Branded_260713,Amazon,미국,ENABLED,USD,$38.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,4388,,105,,2.393%,$26.88,,$0.256,$0.0,6,37.126999999999995%,2.69,$72.4
"Aug 24, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_CARROT_260713,Amazon,미국,ENABLED,USD,$75.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,10234,,57,,0.557%,$32.51,,$0.5703509,$0.0,14,13.828%,7.23,$235.1
"Aug 24, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_RICE_260713,Amazon,미국,ENABLED,USD,$105.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,10699,,123,,1.15%,$61.02,,$0.4960976,$0.0,11,46.122%,2.17,$132.3
"Aug 24, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_General_260713,Amazon,미국,ENABLED,USD,$57.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,1812,,32,,1.7659999999999998%,$29.74,,$0.929375,$0.0,6,46.909%,2.13,$63.4
"Aug 25, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_General_260713,Amazon,미국,ENABLED,USD,$57.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,1271,,21,,1.652%,$16.15,,$0.7690475999999999,$0.0,3,54.376999999999995%,1.84,$29.7
"Aug 25, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_RICE_260713,Amazon,미국,ENABLED,USD,$105.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,6368,,71,,1.115%,$35.57,,$0.5009859,$0.0,12,23.155%,4.32,$153.62
"Aug 25, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_CARROT_260713,Amazon,미국,ENABLED,USD,$75.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,9818,,67,,0.6819999999999999%,$34.71,,$0.5180597,$0.0,18,10.071%,9.93,$344.65
"Aug 25, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_Branded_260713,Amazon,미국,ENABLED,USD,$38.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,1389,,18,,1.2959999999999998%,$10.07,,$0.5594444,$0.0,4,25.429000000000002%,3.93,$39.6
"Aug 26, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_CARROT_260713,Amazon,미국,ENABLED,USD,$75.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,9541,,59,,0.618%,$35.06,,$0.5942373,$0.0,7,23.729%,4.21,$147.75
"Aug 26, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_RICE_260713,Amazon,미국,ENABLED,USD,$105.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,4111,,59,,1.435%,$33.36,,$0.5654237,$0.0,13,20.291999999999998%,4.93,$164.4
"Aug 26, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_General_260713,Amazon,미국,ENABLED,USD,$57.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,1338,,26,,1.9429999999999998%,$21.13,,$0.8126922999999999,$0.0,6,33.861999999999995%,2.95,$62.4
"Aug 26, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_Branded_260713,Amazon,미국,ENABLED,USD,$38.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,1697,,25,,1.473%,$12.89,,$0.5156000000000001,$0.0,10,9.637%,10.38,$133.75
"Aug 27, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_CARROT_260713,Amazon,미국,ENABLED,USD,$75.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,9353,,68,,0.7270000000000001%,$40.79,,$0.5998529,$0.0,16,13.501%,7.41,$302.12
"Aug 27, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_RICE_260713,Amazon,미국,ENABLED,USD,$105.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,5604,,104,,1.856%,$56.29,,$0.54125,$0.0,10,30.895%,3.24,$182.2
"Aug 27, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_Branded_260713,Amazon,미국,ENABLED,USD,$38.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,2103,,41,,1.95%,$21.84,,$0.5326829,$0.0,7,27.063%,3.7,$80.7
